Series Name,Series Code,Country Name,Country Code,2014 [YR2014]
GDP per capita (current US$),NY.GDP.PCAP.CD,Poland,POL,14342.4020166467
GDP per capita (current US$),NY.GDP.PCAP.CD,Portugal,PRT,22077.5361325219
GDP per capita (current US$),NY.GDP.PCAP.CD,Germany,DEU,48042.5634346518
GDP per capita (current US$),NY.GDP.PCAP.CD,European Union,EUU,36670.1304142934
GDP per capita (current US$),NY.GDP.PCAP.CD,Belgium,BEL,47351.9741788818
GDP per capita (current US$),NY.GDP.PCAP.CD,Bulgaria,BGR,7853.33293724146
GDP per capita (current US$),NY.GDP.PCAP.CD,Czech Republic,CZE,19744.5586092159
GDP per capita (current US$),NY.GDP.PCAP.CD,Estonia,EST,19949.5813766971
GDP per capita (current US$),NY.GDP.PCAP.CD,Austria,AUT,51704.5411875921
GDP per capita (current US$),NY.GDP.PCAP.CD,Denmark,DNK,62548.9850174371
GDP per capita (current US$),NY.GDP.PCAP.CD,Finland,FIN,49914.6186421589
GDP per capita (current US$),NY.GDP.PCAP.CD,Italy,ITA,35396.6657242265
GDP per capita (current US$),NY.GDP.PCAP.CD,Ireland,IRL,55412.9285967265
GDP per capita (current US$),NY.GDP.PCAP.CD,Hungary,HUN,14201.4488320148
GDP per capita (current US$),NY.GDP.PCAP.CD,Latvia,LVA,15716.3690672011
GDP per capita (current US$),NY.GDP.PCAP.CD,Lithuania,LTU,16545.1226673996
GDP per capita (current US$),NY.GDP.PCAP.CD,Netherlands,NLD,52157.4068701887
GDP per capita (current US$),NY.GDP.PCAP.CD,Norway,NOR,97199.9190963458
GDP per capita (current US$),NY.GDP.PCAP.CD,Romania,ROU,10020.2773322992
GDP per capita (current US$),NY.GDP.PCAP.CD,Spain,ESP,29623.1644451343
GDP per capita (current US$),NY.GDP.PCAP.CD,Slovak Republic,SVK,18629.7796630086
GDP per capita (current US$),NY.GDP.PCAP.CD,Slovenia,SVN,24202.4308360444
GDP per capita (current US$),NY.GDP.PCAP.CD,Turkey,TUR,12127.4607220808
GDP per capita (current US$),NY.GDP.PCAP.CD,United Kingdom,GBR,46783.4692171284
GDP per capita (current US$),NY.GDP.PCAP.CD,Luxembourg,LUX,119225.380022773
GDP per capita (current US$),NY.GDP.PCAP.CD,Iceland,ISL,52855.1404780181
GDP per capita (current US$),NY.GDP.PCAP.CD,France,FRA,43008.6525700318
GDP per capita (current US$),NY.GDP.PCAP.CD,Cyprus,CYP,27400.802986104
GDP per capita (current US$),NY.GDP.PCAP.CD,Sweden,SWE,59180.1989776727
GDP per capita (current US$),NY.GDP.PCAP.CD,Greece,GRC,21760.9797994918
GDP per capita (current US$),NY.GDP.PCAP.CD,Croatia,HRV,13597.0338744006
GDP per capita (current US$),NY.GDP.PCAP.CD,Malta,MLT,25851.6593323431
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 11/14/2018,,,,
